卡牌id	名称	职业	类型	费用	品质	等级	出售	购买	攻击力	攻击范围	攻击范围类型	耐久度	法术范围	伤害值	伤害类型	模组结构	专属卡	诅咒卡	升级所需经验	作为材料提供的经验	下一级卡牌id	进阶卡牌id	抽到效果	打出效果	打出条件	是否消耗	弃牌效果	亡语效果	初始化效果	关键词
id	name	vocation	type	cost	quality	level	sale	buy	attack	range	rangeType	durability	magicRange	damage	damageType	module	addCards	subsidiaryCards	lvUpExp	disenchantExp	lvUpID	upgradeID	draw	play	playCondition	death	discard	deathRattle	init	keyWord
int	string	int	int	int	int	int	int	int	int	int	int	int	string	int	int	string	string	string	int	int	int	int	string	string	string	int	string	string	string	string
1000001	card_name_100000	1	1	0	0	1			2	1	1	9999				1;6;6;														
1000002	card_name_100000	2	1	0	0	1			1	3	0	9999				1;6;6;														
1000003	card_name_100000	3	1	0	0	1			2	1	1	9999				1;6;6;														
1000004	card_name_100000	4	1	0	0	1			1	3	0	9999				1;6;6;														
1000005	card_name_100000	5	1	0	0	1			2	1	1	9999				1;6;6;														
1000010	card_name_100001	1	1	1	0	1	5	50	3	1	1	3				"6,1;6,6;6,0;"														
1000020	card_name_100002	1	1	2	0	1	5	50	2	1	1	3				"1,6,0;6,6,6;"													10000101	
1000030	card_name_100003	2	1	1	0	1	5	50	2	3	0	3				"2,0,0;6,6,6;"														
1000040	card_name_100004	1	2	1	0	1	5	50								"1,0;6,6;6,0;"								10000103						
1000050	card_name_100005	2	2	2	0	1	5	50					"2,10"	4	2	"6,0,0;6,0,0;6,2,6;"								10000104						
1000060	card_name_100006	2	2	1	0	1	5	50								"6,6;2,6;6,0;"								10000105						
1000070	card_name_100007	2	2	0	0	1	5	50								"6,2,6,6;6,0,0,0;"								10000106						
1000080	card_name_100008	1	3	0	0	1	5	50								"6,6,1;6,6,0;0,6,0;"													10000107	
1000090	card_name_100009	1	3	0	0	1	5	50								"0,6;6,6;1,6;6,0;"													10000109	
1000100	card_name_100010	2	3	0	0	1	5	50								"0,6,0;2,6,6;6,0,6;"													10000111	
1000110	card_name_100011	1	1	3	1	1	20	160	5	1	1	1				"6,1,6;6,0,6;"												10000113		1
1000120	card_name_100012	1	1	3	1	1	20	160	3	1	1	3				"6,0,0;6,1,6;0,0,6;"													10000114	
1000130	card_name_100013	2	1	3	1	1	20	160	2	3	0	3				"6,0;2,6;0,6;"													10000116	
1000140	card_name_100014	1	2	3	1	1	20	160					"2,10"			"6,6,1;0,0,6;"								10000118						9
1000150	card_name_100015	1	2	3	1	1	20	160					"1,10"			"6,1,6;0,6,0;"								10000119						
1000160	card_name_100016	2	2	2	1	1	20	160								"6,0,0;6,2,6;0,6,0;"								10000120						
1000170	card_name_100017	2	2	3	1	1	20	160								"0,6,6;6,2,6;"								10000121						3
1000180	card_name_100018	2	3	0	1	1	20	160								"6,2;6,6;0,6;0,6;"													10000122	
1000190	card_name_100019	1	1	7	2	1	120	600	1	1	1	1				"0,6,0,0;0,1,0,0;6,6,6,6;"													10000124	
1000200	card_name_100020	2	1	0	2	1	120	600	1	3	0	5				"0,2,6,6;6,6,0,0;"													10000126	
1000210	card_name_100021	1	2	4	2	1	120	600					"1,1001"			"1,6,6;6,0,0;6,0,0;"								10000221						"4,2"
1000220	card_name_100022	2	2	5	2	1	120	600					"1,13"			"6,2,6;6,0,0;6,6,0;"								10000222						5
1000230	card_name_100023	2	2	3	2	1	120	600								"6,6,0;6,6,0;0,2,6;"								10000128						8
1000240	card_name_100024	1	3	0	2	1	120	600								"6,6;0,6;6,6;1,6;"											10000131		10000129	
1000250	card_name_100025	1	1	7	3	1	600	3000	7	1	1	3				"0,6,6;0,6,6;1,6,6;"								10000132						
1000260	card_name_100026	2	2	2	3	1	600	3000								"6,0,6;6,2,6;6,6,0;"								10000134		1				2
1000270	card_name_100027	1	3	0	3	1	600	3000								"0,6,0;6,6,6;6,6,6;0,1,0;"													10000136	
1000280	card_name_100028	2	3	0	3	1	600	3000								"0,6,6;6,2,0;0,6,6;6,6,0;"													10000138	
1000290	card_name_100029	1	4	5	3	1	600	3000								"6,6,6;6,1,6;0,6,0;6,1,6;"	"1000300,3"							10000140	10004	1				7
1000300	card_name_100030	1	1	2	3	1			3	1	1	6				"6,1,6;0,6,0;6,1,6;"													10000143	
1000310	card_name_100031	2	4	5	3	1	600	3000								"6,6,6,6;0,2,2,0;6,6,6,6;"	"1000320,3"							10000145	10005	1				7
1000320	card_name_100032	2	2	5	3	1							"1,14"			"6,6,6,0;0,2,2,0;0,6,6,6;"								10000235		1				"5,2"
1000330	card_name_100033	3	1	1	0	1	5	50	2	1	1	4				"6,0;3,0;6,6;6,0;"														
1000340	card_name_100034	3	1	2	0	1	5	50	1	1	1	3				"0,6;6,3;6,6;"													10000151	
1000350	card_name_100035	3	2	3	0	1	5	50								"0,6;6,3;6,0;"								10000154						
1000360	card_name_100036	3	2	3	0	1	5	50								"6,3;6,6;"								10000155						
1000370	card_name_100037	3	3	0	0	1	5	50								"0,0,3,0;6,6,6,6;0,0,6,0;"													10000156	
1000380	card_name_100038	3	1	3	1	1	20	160	2	1	1	4				"6,6,6,3;0,0,6,0;"													10000158	
1000390	card_name_100039	3	2	2	1	1	20	160								"0,6,0;3,6,6;"								10000160						
1000400	card_name_100040	3	2	3	1	1	20	160								"6,0;6,0;6,3;"								10000161						
1000410	card_name_100041	3	3	0	1	1	20	160								"6,6,6,3;6,0,0,6;"													10000163	
1000420	card_name_100042	3	1	6	2	1	120	600	2	1	1	5				"3,6,0;6,6,6;6,0,0;"													10000165	
1000430	card_name_100043	3	2	3	2	1	120	600								"3,6,0;0,6,6;0,0,6;"								10000168						6
1000440	card_name_100044	3	2	4	2	1	120	600								"6,6,6;6,0,3;"								10000170						
1000450	card_name_100045	3	2	3	3	1	600	3000								"6,6,6;6,3,0;6,0,0;"								10000172						
1000460	card_name_100046	3	3	0	3	1	600	3000								"6,3,6,0;6,0,0,0;6,6,6,6;"													10000173	
1000470	card_name_100047	3	4	3	3	1	600	3000								"0,6,6;6,3,0;6,0,0;3,0,6;6,6,6;"	"1000470,1;1000480,1;1000490,1"							10000176	10007	1				7
1000480	card_name_100048	3	2	2	3	1										"6,3;6,0;3,0;6,6;"								10000178						6
1000490	card_name_100049	3	2	2	3	1										"0,6;6,3;6,0;3,0;6,0;"								10000180						6
1000500	card_name_100050	3	2	3	3	1										"0,6,6;6,3,0;6,0,0;3,0,0;"								10000182						
1000510	card_name_100051	0	2	2	0	1	5	50								"6,0,6;6,6,6;"								10000185						
1000520	card_name_100052	0	2	2	0	1	5	50								"6,6;0,6;6,6;"								10000186						
1000530	card_name_100053	0	2	2	0	1	5	50								"6,6;6,0;6,6;"								10000187						
1000540	card_name_100054	0	2	2	0	1	5	50								"6,0,0;6,0,0;6,6,6;"								10000188						
1000550	card_name_100055	0	3	0	0	1	5	50								"6,6;0,6;0,6;6,6;"													10000189	
1000560	card_name_100056	0	3	0	0	1	5	50								"0,6,0;0,6,0;0,6,0;6,6,6;"													10000191	
1000570	card_name_100057	0	2	2	1	1	20	160								"0,0,6;6,6,6;0,0,6;"								10000193						
1000580	card_name_100058	0	2	3	1	1	20	160								"6,0;6,0;6,6;6,0;"								10000194						
1000590	card_name_100059	0	2	1	1	1	20	160								"6,6,0;0,6,0;0,6,6;"								10000195						
1000600	card_name_100060	0	3	0	1	1	20	160								"6,6,0;0,6,6;6,6,0;"													10000196	
1000610	card_name_100061	0	2	3	2	1	120	600								"0,0,6,6;0,0,6,0;6,6,6,0;"								10000204						
1000620	card_name_100062	0	2	4	2	1	120	600								"6,6,6;0,6,0;6,6,0;"								10000199						
1000630	card_name_100063	0	3	0	2	1	120	600								"6,0,6,0;6,6,6,6;0,0,6,0;"													10000201	
1000640	card_name_100064	0	2	3	3	1	600	3000								"6,0,0;6,6,6;6,0,0;6,6,0;"								10000203						
1000650	card_name_100065	0	3	0	3	1	600	3000								"0,0,6,0;0,6,6,6;6,6,0,6;6,0,0,0;"													10000205	
1090010	card_name_109001	0	2	2	1	1	20	160								6;6;6;								10000229						
1090020	card_name_109002	0	2	4	2	1	120	600						3	0	6;6;6;								10000231						
1090030	card_name_109003	0	2	3	1	1	20	160						5	0	6;6;6;								10000233						
1090001	card_name_109000	0	1	0	0	1										6;6;6;													50000011	
1090002	card_name_109000	0	1	0	0	1										6;6;6;													50000002	
1090003	card_name_109000	0	1	0	0	1										6;6;6;													50000006	
1090004	card_name_109000	0	1	0	0	1										6;6;6;													50000010	
1090005	card_name_109000	0	1	0	0	1										6;6;6;													50000005	
1090007	card_name_109000	0	1	0	0	1										6;6;6;													50000008	
1010001	card_name_101000	0	1	0	0	1										6;6;6;													20000001	
