id	boss名称	bossID	boss属性	boss卡组	通关奖励	失败奖励	地图ID	触发引导id	触发id	标记指引id	通关后触发组Id	通关后解锁职业Id
id	bossName	bossVocation	bossAttr	bossCard	drop	failDrop	mapId	guideId	triggerId	markId	groupId	vocationId
int	string	int	string	string	string	string	int	string	string	int	int	int
1001	occ_2	10001	"100,3;101,3;102,1"	"1000030,3;1000540,2"	"4,150;3,6"		10009	"1001,1002,1003"	10001	110		
1002	occ_2	10002	"100,5;101,4;102,2"	"1000030,3;1000540,2"	"4,162;3,8;2002,1"		10007	"2001,2002"		130	2	
1003	boss_2_1	10003	"100,7;101,5;102,4"	"1000330,3;1000510,1;1000540,1"	"4,115;3,10;3001,1"	"4,46"	10019					
1004	boss_2_1	10004	"100,7;101,5;102,5"	"1000330,3;1000510,1;1000540,1"	"4,206;3,12;3001,1"	"4,82"	10008					
1005	boss_2_1	10005	"100,8;101,6;102,6"	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"	"4,305;3,14;3001,1"	"4,122"	10020					
1006	boss_2_1	10006	"100,8;101,6;102,7"	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"	"4,420;3,16;3001,1;2001,1"	"4,168"	10002	1006			12	2001
1007	boss_5_1	10007	"100,10;101,3;102,4"	"1000010,3;1000040,2;1000550,1"	"4,596;3,18;3001,1"	"4,238"	10009					
1008	boss_5_1	10008	"100,13;101,5;102,6"	"1000010,3;1000040,2;1000550,1"	"4,447;3,20;3001,1"	"4,179"	10019					
1009	boss_5_1	10009	"100,14;101,6;102,7"	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"	"4,990;3,22;3001,1"	"4,396"	10005					
1010	boss_5_1	10010	"100,14;101,5;102,7"	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"	"4,990;3,24;3001,1;2001,1"	"4,396"	10009	1007			3	
1011	boss_7_1	10011	"100,8;101,10;102,7"	"1000030,4;1000070,2"	"4,990;3,26;3001,1"	"4,396"	10002					
1012	boss_7_1	10012	"100,8;101,12;102,8"	"1000030,4;1000070,2;1000160,1"	"4,990;3,28;3001,1;2001,1"	"4,396"	10019	1008			14	3001
1013	boss_6_1	10013	"100,12;101,5;102,5"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1"	"4,990;3,30;3001,1"	"4,396"	10008					
1014	boss_6_1	10014	"100,15;101,5;102,5"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"	"4,990;3,32;3001,1;2001,1"	"4,396"	10002	1009				
1015	boss_4_1	10015	"100,13;101,10;102,10"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1"	"4,990;3,34;3001,1"	"4,396"	10020					
1016	boss_4_1	10016	"100,14;101,10;102,11"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,990;3,36;3001,1;2001,1"	"4,396"	10009	1010				
1017	boss_3_1	10017	"100,13;101,9;102,9"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"	"4,990;3,38;3001,1"	"4,396"	10007					
1018	boss_3_1	10018	"100,13;101,9;102,9"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"	"4,990;3,40;3001,1"	"4,396"	10008					
1019	boss_3_1	10019	"100,13;101,10;102,10"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,990;3,42;3001,1"	"4,396"	10019					
1020	boss_3_1	10020	"100,13;101,10;102,11"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,990;3,44;3001,1;2001,1"	"4,396"	10007	1011			4	
1021	boss_7_2	10021	"100,9;101,17;102,10"	"1000030,4;1000070,2;1000160,1"	"4,990;3,46;3002,1;3003,1"	"4,396"	10006				5	
1022	boss_7_2	10022	"100,9;101,18;102,11"	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"	"4,990;3,48;3002,1;3003,1"	"4,396"	10006	1012				
1023	boss_7_2	10023	"100,10;101,19;102,11"	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"	"4,990;3,50;3002,1;3003,1"	"4,396"	10009					
1024	boss_7_2	10024	"100,10;101,20;102,12"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,990;3,52;3002,1;3003,1"	"4,396"	10020					
1025	boss_7_2	10025	"100,11;101,21;102,12"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,990;3,54;3002,1;3003,1;2001,1"	"4,396"	10006					
1026	boss_3_2	10026	"100,18;101,14;102,14"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"	"4,990;3,56;3002,1;3003,1"	"4,396"	10002				6	
1027	boss_3_2	10027	"100,19;101,14;102,14"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"	"4,990;3,58;3002,1;3003,1"	"4,396"	10006					
1028	boss_3_2	10028	"100,20;101,15;102,15"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,990;3,60;3002,1;3003,1"	"4,396"	10017					
1029	boss_3_2	10029	"100,21;101,16;102,16"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,990;3,62;3002,1;3003,1"	"4,396"	10007					
1030	boss_3_2	10030	"100,22;101,17;102,17"	"1000010,3;1000020,1;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000210,1"	"4,990;3,64;3002,1;3003,1;2001,1"	"4,396"	10009				7	
1031	boss_6_2	10031	"100,46;101,6;102,6"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1"	"4,990;3,66;3002,1;3003,1"	"4,396"	10006					
1032	boss_6_2	10032	"100,48;101,7;102,6"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"	"4,990;3,68;3002,1;3003,1"	"4,396"	10002					
1033	boss_6_2	10033	"100,50;101,7;102,6"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"	"4,990;3,70;3002,1;3003,1"	"4,396"	10007					
1034	boss_6_2	10034	"100,51;101,7;102,7"	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"	"4,990;3,72;3002,1;3003,1"	"4,396"	10005					
1035	boss_6_2	10035	"100,52;101,8;102,8"	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"	"4,990;3,74;3002,1;3003,1;2001,1"	"4,396"	10006				8	
1036	boss_4_2	10036	"100,28;101,21;102,21"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,990;3,76;3002,1;3003,1"	"4,396"	10020					
1037	boss_4_2	10037	"100,29;101,22;102,22"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,990;3,78;3002,1;3003,1"	"4,396"	10008					
1038	boss_4_2	10038	"100,30;101,22;102,22"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,990;3,80;3004,1;3005,1;3006,1"	"4,396"	10009					
1039	boss_4_2	10039	"100,30;101,23;102,23"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,990;3,82;3004,1;3005,1;3006,1"	"4,396"	10002					
1040	boss_4_2	10040	"100,32;101,24;102,24"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,990;3,84;3004,1;3005,1;3006,1;2001,2"	"4,396"	10020				9	
1041	boss_5_2	10041	"100,41;101,16;102,25"	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"	"4,990;3,86;3004,1;3005,1;3006,1"	"4,396"	10007					
1042	boss_5_2	10042	"100,42;101,17;102,25"	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"	"4,990;3,88;3004,1;3005,1;3006,1"	"4,396"	10005					
1043	boss_5_2	10043	"100,43;101,17;102,26"	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,990;3,90;3004,1;3005,1;3006,1"	"4,396"	10002					
1044	boss_5_2	10044	"100,44;101,18;102,26"	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,990;3,92;3004,1;3005,1;3006,1"	"4,396"	10017					
1045	boss_5_2	10045	"100,46;101,18;102,28"	"1000010,3;1000020,2;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,990;3,94;3004,1;3005,1;3006,1;2001,2"	"4,396"	10006				10	
1046	boss_1_1	10046	"100,28;101,38;102,28"	"1000030,3;1000060,1;1000130,1;1000550,1"	"4,990;3,96;3004,1;3005,1;3006,1"	"4,396"	10017					
1047	boss_1_1	10047	"100,29;101,38;102,29"	"1000030,3;1000060,1;1000130,1;1000550,1"	"4,990;3,98;3004,1;3005,1;3006,1"	"4,396"	10005					
1048	boss_1_1	10048	"100,29;101,39;102,29"	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1"	"4,990;3,100;3004,1;3005,1;3006,1"	"4,396"	10008					
1049	boss_1_1	10049	"100,30;101,40;102,30"	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1"	"4,990;3,102;3004,1;3005,1;3006,1"	"4,396"	10017					
1050	boss_1_1	10050	"100,31;101,42;102,31"	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1"	"4,990;3,104;3004,1;3005,1;3006,1;2001,2"	"4,396"	10009	1012			11	
1051	boss_2_2	10051	"100,32;101,21;102,53"	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"	"4,990;3,106;3004,1;3005,1;3006,1"	"4,396"	10020					
1052	boss_2_2	10052	"100,32;101,22;102,54"	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"	"4,990;3,108;3004,1;3005,1;3006,1"	"4,396"	10007					
