id	参数
id	value
int	string
1001	10
1002	10
1003	10
1004	0
1005	3
1006	0
1009	100
1010	7
1011	5
1012	2000
1013	20
1014	10
1015	10000
1016	1
1017	"1001,2001,3001"
1018	0
1019	0
1020	0
1021	"1000010,1000020,1000030,1000040,1000050,1000060,1000070,1000080,1000090,1000100,1000110,1000120,1000130,1000140,1000150,1000160,1000170,1000180,1000220"
1022	"0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1"
1023	"1000010,1;1000020,1;1000510,1;1000540,1;1000570,1"
1024	10
1025	"10001,10003,10004,10010,10012,10013,10014,10015,10016,10018"
1026	"1101,1"
1027	"1102,1"
1028	"1103,1"
1029	"1104,1"
1030	"1105,1"
1031	"1106,1"
1032	"1107,1"
1033	"1,1"
1034	1001
1035	1001
1036	1000
1037	5
