屏蔽id	对应字符串
id	chinese
string	string
1	习近平
2	TMD
3	毛民进党
4	妹妹淫水 流
5	机吧
6	联国
7	1989六四
8	性爱电影
9	李红智
10	梁光烈
11	巴黎市长
12	成人BT
13	免注册淫色电影
14	UltraSurf
15	鐵血三國志
16	性爱图库
17	公安
18	777黄站
19	大龟头顶住嫂嫂的花心深处
20	插 穴 射 喷 精液
21	兽奸
22	PORN
23	毛可卡因
24	阴茎挺进滋润肉洞里在阴户中抽送
25	ｆａｌｕｎｄａｆａ
26	三八淫成人网
27	发^^轮
28	毛江折民
29	毛拉登
30	免费淫*女Ａ片段
31	d7se我淫我电影
32	madelove
33	淫奸美女穴
34	美女极品穴
35	…快插我淫穴…
36	乱武天下
37	玩穴
38	ｌｉｎｅａｇｅⅡ
39	居然花钱请人教性爱姿势(组图)免费淫电影a片
40	肛交
41	go-vern-ment
42	奸你
43	四眼醫生強制飲尿 美巨乳小野悠美第二彈
44	坤迈
45	高嘉
46	兼职女教师
47	嫂嫂的穴
48	龟头在她的阴道里抽插
49	张梅颖
50	幼女嫩逼
51	meimei的阴蒂
52	淫女性息
53	强奸35岁处女全过程/淫妹阴毛小穴
54	这年头就这样
55	阴屄
56	贺龙
57	酱猪媳
58	毛台湾共和国
59	欢乐潜水艇
60	陰唇
61	淫虎大型色站
62	免费淫奸黄色电影a片
63	drop
64	免费强奸淫电影
65	幸福花園
66	老公，他要插进来了
67	9JBW
68	巨乳美女RINA无码第2弹
69	十八电影掰穴特写红免费性视频聊天激情少妇图
70	新華內情
71	meinv嫩穴
72	麻黄素
73	绝品美女が恍惚颜の绝顶快感
74	操逼样
75	褻
76	日本激情淫穴贴图
77	女优
78	雞吧 阴茎 插 騷穴 嫩穴 小穴
79	錢 國 梁
80	巨乳
81	fuck温总理
82	熱血傳奇
83	夜色导航
84	風騷淫蕩
85	麻黃素
86	插阿姨的洞洞舔女朋友的下身
87	驶你爸
88	轮奸做爱高潮录象
89	测试
90	赛你老母
91	內射
92	李岚清
93	芬太尼
94	日本妹妹
95	fuck生春袋
96	ｒｆ 行会战争
97	卫生部
98	fuck手机复制
99	法论工
100	meimei的小屄好痒
101	毛干拎娘
102	黄色免费淫乱电影 淫女色情图片
103	幸福花园
104	奸他
105	朱狨基
106	JPEEN
107	色情信息
108	六岁幼女阴穴近拍
109	meimei被操的淫水直流
110	粪便
111	私人服务器
112	ｍａｓｔｅｒ
113	希特勒
114	猥褻
115	马卖马屁
