id	是否职业	名称	角色类型	战场默认武器	职业	等级	力量	敏捷	智力	升级所需经验	下限	上限	下一级id	下一级id	引导id	段位等级	段位星级	卡组库id
id	isOcc	name	type	defaultWeapon	occupation	level	strength	agility	intelligence	lvUpExp	minExp	maxExp	lastLvID	nextLvID	guideID	rankID	star	cardGroup
int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	1	occ_1		1000001	0	1	12	5	5	100	0	100		1002				
1002	1	occ_1		1000001	0	2	14	6	6	120	101	220	1001	1003				
1003	1	occ_1		1000001	0	3	16	6	6	230	221	450	1002	1004				
1004	1	occ_1		1000001	0	4	18	7	7	610	451	1060	1003	1005				
1005	1	occ_1		1000001	0	5	20	8	8	1490	1061	2550	1004	1006				
1006	1	occ_1		1000001	0	6	22	9	9	3270	2551	5820	1005	1007				
1007	1	occ_1		1000001	0	7	24	9	9	6450	5821	12270	1006	1008				
1008	1	occ_1		1000001	0	8	26	10	10	11680	12271	23950	1007	1009				
1009	1	occ_1		1000001	0	9	28	11	11	19780	23951	43730	1008	1010				
1010	1	occ_1		1000001	0	10	30	12	12				1009					
1101		occ_1		1000001	0	10												
2001	1	occ_2		1000002	1	1	3	6	12	100	0	100		2002				
2002	1	occ_2		1000002	1	2	4	7	14	120	101	220	2001	2003				
2003	1	occ_2		1000002	1	3	4	8	16	230	221	450	2002	2004				
2004	1	occ_2		1000002	1	4	5	9	18	610	451	1060	2003	2005				
2005	1	occ_2		1000002	1	5	5	10	20	1490	1061	2550	2004	2006				
2006	1	occ_2		1000002	1	6	6	11	22	3270	2551	5820	2005	2007				
2007	1	occ_2		1000002	1	7	6	12	24	6450	5821	12270	2006	2008				
2008	1	occ_2		1000002	1	8	7	13	26	11680	12271	23950	2007	2009				
2009	1	occ_2		1000002	1	9	7	14	28	19780	23951	43730	2008	2010				
2010	1	occ_2		1000002	1	10	8	15	30				2009					
2101		occ_2		1000002	1	10												
3001	1	occ_3		1000003	2	1	6	8	9	100	0	100		3002				
3002	1	occ_3		1000003	2	2	6	9	10	120	101	220	3001	3003				
3003	1	occ_3		1000003	2	3	7	10	11	230	221	450	3002	3004				
3004	1	occ_3		1000003	2	4	8	11	12	610	451	1060	3003	3005				
3005	1	occ_3		1000003	2	5	8	11	13	1490	1061	2550	3004	3006				
3006	1	occ_3		1000003	2	6	9	12	14	3270	2551	5820	3005	3007				
3007	1	occ_3		1000003	2	7	10	14	16	6450	5821	12270	3006	3008				
3008	1	occ_3		1000003	2	8	11	16	18	11680	12271	23950	3007	3009				
3009	1	occ_3		1000003	2	9	13	18	20	19780	23951	43730	3008	3010				
3010	1	occ_3		1000003	2	10	14	19	22				3009					
3101		occ_3		1000003	2	10												
4001	1	occ_4		1000004	3	1	4	12	5	100	0	100		4002				
4002	1	occ_4		1000004	3	2	5	14	6	120	101	220	4001	4003				
4003	1	occ_4		1000004	3	3	6	16	7	230	221	450	4002	4004				
