id	包含卡牌
id	cards
int	string
10001	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000590,1;1000630,1;1000540,1;1000620,1;"
10002	"1000030,3;1000050,1;1000060,1;1000530,1;1000590,1;"
10003	"1000030,3;1000050,1;1000060,1;1000530,1;1000590,1;1000630,1;"
10004	"1000030,3;1000050,1;1000060,1;1000530,1;1000590,1;1000630,1;"
10005	"1000030,3;1000050,1;1000060,1;1000530,1;1000590,1;"
10006	"1000030,3;1000050,1;1000060,1;1000530,1;1000590,1;"
10007	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000530,1;1000590,1;1000630,1;"
10008	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000530,1;1000590,1;1000630,1;"
10009	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000530,1;1000590,1;1000630,1;"
10010	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000530,1;1000590,1;1000630,1;"
10011	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000530,1;1000590,1;1000630,1;"
10012	"1000030,3;1000050,1;1000060,1;1000100,1;1000220,1;1000530,1;1000590,1;1000630,1;"
10000	"1000010,1;1000020,1;1000030,1;1000040,1;1000050,1;1000060,1;1000070,1;1000080,1;1000090,1;1000100,1;1000110,1;1000120,1;1000130,1;1000140,1;1000150,1;1000160,1;1000170,1;1000180,1;1000190,1;1000200,1;1000210,1;1000220,1;1000230,1;1000240,1;1000250,1;1000260,1;1000270,1;1000280,1;1000290,1;1000310,1;1000330,1;1000340,1;1000350,1;1000360,1;1000370,1;1000380,1;1000390,1;1000400,1;1000410,1;1000420,1;1000430,1;1000440,1;1000450,1;1000460,1;1000470,1;1000510,1;1000520,1;1000530,1;1000540,1;1000550,1;1000560,1;1000570,1;1000580,1;1000590,1;1000600,1;1000610,1;1000620,1;1000630,1;1000640,1;1000650,1;"
11001	"1000010,3;1000040,2;1000550,1"
11002	"1000030,3;1000540,2"
11003	"1000010,3;1000040,2;1000550,1"
11004	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11005	"1000030,3;1000540,2"
11006	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11007	"1000030,3;1000540,2"
11008	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11009	"1000030,3;1000540,2"
11010	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11011	"1000030,4;1000070,2"
11012	"1000330,3;1000510,1;1000540,1"
11013	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11014	"1000030,4;1000070,2"
11015	"1000330,3;1000510,1;1000540,1"
11016	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11017	"1000030,4;1000070,2;1000160,1"
11018	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11019	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11020	"1000030,4;1000070,2;1000160,1"
11021	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11022	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11023	"1000030,4;1000070,2;1000160,1"
11024	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11025	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11026	"1000030,4;1000070,2;1000160,1"
11027	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11028	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11029	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11030	"1000330,3;1000370,1;1000540,1;1000590,1"
11031	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11032	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11033	"1000330,3;1000370,1;1000540,1;1000590,1"
11034	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1"
11035	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11036	"1000330,3;1000370,1;1000540,1;1000590,1;1000340,1;1000390,1;1000400,1"
11037	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11038	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
