id	boss名称	boss职业	boss属性	boss卡组	通关奖励	失败奖励	地图ID	触发引导id	触发id	标记指引id	通关后触发组Id	通关后解锁职业Id
id	bossName	bossVocation	bossAttr	bossCard	drop	failDrop	mapId	guideId	triggerId	markId	groupId	vocationId
int	string	int	string	string	string	string	int	string	string	int	int	int
1001	boss_name_1001	1001	"100,7;101,4;102,8"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,1"	"4,100;3,50"	"4,20"	10016	"1001,1002,1003"	"10001,10002"	110		
1002	boss_name_1002	2001	"100,8;101,7;102,8"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,2"	"4,100;3,50;2002,1"	"4,20"	10001	"1004,1005"			2	
1003	boss_name_1003	3001	"100,9;101,9;102,7"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,3"	"4,100;3,50"	"4,20"	10015					
1004	boss_name_1004	3001	"100,10;101,5;102,6"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,4"	"4,100;3,50"	"4,20"	10005					
1005	boss_name_1005	2001	"100,10;101,7;102,10"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,5"	"4,100;3,50"	"4,20"	10018					
1006	boss_name_1006	1001	"100,12;101,7;102,8"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,6"	"4,100;3,50"	"4,20"	10002					
1007	boss_name_1007	2001	"100,12;101,10;102,7"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,7"	"4,100;3,50"	"4,20"	10005					
1008	boss_name_1008	2001	"100,15;101,10;102,10"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,8"	"4,100;3,50"	"4,20"	10011					
1009	boss_name_1009	3001	"100,15;101,12;102,10"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,9"	"4,100;3,50"	"4,20"	10011					
1010	boss_name_1010	2001	"100,18;101,9;102,11"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,10"	"4,100;3,50"	"4,20"	10014					2001
1011	boss_name_1011	1001	"100,18;101,14;102,11"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,11"	"4,100;3,50"	"4,20"	10015					
1012	boss_name_1012	1001	"100,18;101,10;102,12"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,12"	"4,100;3,50"	"4,20"	10004					
1013	boss_name_1013	2001	"100,20;101,13;102,12"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,13"	"4,100;3,50"	"4,20"	10013					
1014	boss_name_1014	1001	"100,20;101,15;102,13"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,14"	"4,100;3,50"	"4,20"	10012					
1015	boss_name_1015	3001	"100,25;101,15;102,14"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,15"	"4,100;3,50"	"4,20"	10011					
1016	boss_name_1016	3001	"100,25;101,15;102,16"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,16"	"4,100;3,50"	"4,20"	10013					
1017	boss_name_1017	1001	"100,28;101,15;102,13"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,17"	"4,100;3,50"	"4,20"	10004					
1018	boss_name_1018	2001	"100,28;101,17;102,16"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,18"	"4,100;3,50"	"4,20"	10016					
1019	boss_name_1019	2001	"100,30;101,14;102,18"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,19"	"4,100;3,50"	"4,20"	10003					
1020	boss_name_1020	1001	"100,30;101,16;102,17"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					3001
1021	boss_name_1021	2001	"100,30;101,16;102,19"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1022	boss_name_1022	3001	"100,30;101,19;102,16"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1023	boss_name_1023	3001	"100,30;101,20;102,21"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1024	boss_name_1024	3001	"100,33;101,21;102,17"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1025	boss_name_1025	1001	"100,33;101,22;102,18"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1026	boss_name_1026	1001	"100,33;101,21;102,20"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1027	boss_name_1027	2001	"100,33;101,22;102,23"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1028	boss_name_1028	1001	"100,33;101,22;102,20"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1029	boss_name_1029	3001	"100,36;101,20;102,21"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1030	boss_name_1030	3001	"100,36;101,23;102,22"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1031	boss_name_1031	2001	"100,36;101,23;102,23"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1032	boss_name_1032	3001	"100,36;101,24;102,26"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1033	boss_name_1033	1001	"100,36;101,23;102,25"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1034	boss_name_1034	2001	"100,39;101,23;102,27"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1035	boss_name_1035	3001	"100,39;101,26;102,28"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1036	boss_name_1036	2001	"100,39;101,29;102,29"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1037	boss_name_1037	1001	"100,39;101,25;102,29"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1038	boss_name_1038	2001	"100,39;101,27;102,27"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1039	boss_name_1039	2001	"100,42;101,28;102,27"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1040	boss_name_1040	3001	"100,42;101,29;102,29"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1041	boss_name_1041	1001	"100,42;101,28;102,30"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1042	boss_name_1042	1001	"100,42;101,32;102,29"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1043	boss_name_1043	2001	"100,42;101,32;102,32"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1044	boss_name_1044	1001	"100,45;101,30;102,31"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1045	boss_name_1045	1001	"100,45;101,34;102,32"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1046	boss_name_1046	1001	"100,45;101,34;102,32"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1047	boss_name_1047	1001	"100,45;101,31;102,35"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1048	boss_name_1048	1001	"100,45;101,32;102,33"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1049	boss_name_1049	1001	"100,48;101,32;102,36"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1050	boss_name_1050	2001	"100,48;101,34;102,34"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1051	boss_name_1051	1001	"100,48;101,34;102,36"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1052	boss_name_1052	1001	"100,48;101,36;102,36"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1053	boss_name_1053	1001	"100,48;101,38;102,36"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1054	boss_name_1054	3001	"100,51;101,39;102,35"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1055	boss_name_1055	1001	"100,51;101,39;102,39"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1056	boss_name_1056	3001	"100,51;101,38;102,40"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1057	boss_name_1057	1001	"100,51;101,39;102,38"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1058	boss_name_1058	3001	"100,51;101,38;102,39"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
