id	组ID	种类	是否保存点	对话内容	坐标与方向	引导方向	所在界面	人物形象
id	groupId	type	isSave	talk	content	doneType	Panel	role
int	int	int	int	string	string	int	string	int
101	1	3	1	Guide_1			Home	
102	1	3	1	Guide_2|Guide_202			Home	
103	1	3	1	Guide_3			Home	
104	1	0	1	Guide_4			Home	3001
105	1	0	1	Guide_5			Home	3001
106	1	2	1		201|202|203|204|205|206|207|208|209|210|211|212|213|214|301|302|303		Home	
107	1	0	1	Guide_6|Guide_602			Home	1001
108	1	0	1	Guide_37			Home	1001
109	1	1	1		0|330|300|120	1	Model	
110	1	1	1		0|85|-472|140	1	Level	
111	1	0	1	Guide_7|Guide_8			Level	2001
112	1	0	1	Guide_38			Level	2001
113	1	1	1		0|-430|860|120	1	Level	
114	1	1	1		0|-430|-301|120	1	Model	
115	1	1	0		0|390|535|60	1	Deck	
116	1	3	0	Guide_9|Guide_902			Module	2001
117	1	3	0	Guide_10			Module	2001
118	1	1	0		1|-172|-515|460|175	1	Module	
119	1	3	0	Guide_11		1	Module	2001
120	1	1	1		1|254|-528|165|80	1	Module	
121	1	0	1	Guide_12			Deck	2001
122	1	1	1		0|-430|860|120	1	Deck	
123	1	0	0	Guide_13			Home	2001
124	1	1	0		0|-444|293|60	1	Home	
125	1	1	1		1|0|-110|810|160	1	Task	
126	1	1	1		0|450|484|75	1	Task	
127	1	5	1	Guide_14			Home	
128	1	0	1	Guide_15|Guide_1502			Home	3001
129	1	1	1		0|330|300|120	1	Model	
130	1	1	1		0|-105|-345|140	1	Level	
131	2	1	1		0|-430|860|120	1	Level	
132	2	0	1	Guide_16|Guide_1602|Guide_1603|Guide_17			Home	1001
133	2	1	1		0|-416|-831|90	1	Home	
134	2	0	0	Guide_18			PumpingCard	1001
135	2	1	1		3|-18|-827|120;0|-94|1080|850	8	PumpingCard	
136	2	1	1		0|-430|860|120	1	PumpingCard	
137	2	0	1	Guide_19			Home	2001
138	2	1	1		0|-430|-301|120	1	Model	
139	2	0	0	Guide_20			Deck	2001
140	2	1	0		0|390|593|60	1	Deck	
141	2	3	0	Guide_21		8	Module	2001
142	2	1	0		2|480|-156|75;480|-544|100|180	8	Module	
143	2	3	0	Guide_22		8	Module	2001
144	2	1	0		2|-290|545|180;-360|-160|218|320	8	Module	
145	2	1	0		2|-290|545|180;-360|-160|218|320	8	Module	
146	2	1	0		2|-290|545|180;-360|-160|218|320	8	Module	
147	2	3	0	Guide_23		3	Module	2001
148	2	1	0		3|480|250|60;480|-320|300|320	8	Module	
149	2	3	0	Guide_24			Module	2001
150	2	1	0		1|-210|-512|460|210	1	Module	
151	2	3	0	Guide_25|Guide_26|Guide_27			Module	2001
152	2	3	0	Guide_28			Module	2001
153	2	1	1		1|254|-528|165|80	1	Module	
154	2	1	1		0|-430|860|120	1	Deck	
155	2	0	1	Guide_29			Home	3001
156	2	3	1	Guide_30			Home	
157	2	0	1	Guide_31|Guide_3102			Home	3001
158	2	0	1	Guide_32|Guide_33			Home	3001
159	2	1	1		0|312|-423|120	1	Model	
160	2	5	1	Guide_34			Role	
161	2	0	1	Guide_35			Role	3001
162	2	0	1	Guide_36			Role	1001
163	12	0	1	Guide_39			Level	2001
164	12	1	0		1|407|837|174|174	1	Level	
165	12	1	0		1|410|653|140|140	1	Level	
166	12	1	1		0|-280|300|130	1	Level	
167	3	0	1	Story_1010_01				1001
168	3	0	1	Story_1010_02				2001
169	3	0	1	Story_1010_03				3001
170	3	5	1	Story_1010_04				
171	4	0	1	Story_1020_01				2001
172	4	0	1	Story_1020_02				1001
173	4	0	1	Story_1020_03				3001
174	5	0	1	Story_1021_01				1001
175	5	0	1	Story_1021_02				9001
176	5	0	1	Story_1021_03				1001
177	6	0	1	Story_1026_01				9001
178	6	3	1	Story_1026_02				1001
179	6	0	1	Story_1026_03				9001
180	6	5	1	Story_1026_04				0
181	7	0	1	Story_1030_01				9002
182	7	3	1	Story_1030_02|Story_1030_02_2				9003
183	7	0	1	Story_1030_03				9002
184	8	0	1	Story_1035_01				1001
185	8	3	1	Story_1035_02				9005
186	8	0	1	Story_1035_03				1001
187	8	3	1	Story_1035_04				9005
188	8	0	1	Story_1035_05|Story_1035_05_2				1001
189	8	3	1	Story_1035_06				9005
190	8	0	1	Story_1035_07				1001
191	8	5	1	Story_1035_08				0
192	9	0	1	Story_1040_01				3001
193	9	3	1	Story_1040_02|Story_1040_02_2				1001
194	9	0	1	Story_1040_03				2001
195	10	0	1	Story_1045_01				1001
196	10	3	1	Story_1045_02				9004
197	10	0	1	Story_1045_03				1001
198	10	3	1	Story_1045_04|Story_1045_04_2				9004
199	10	5	1	Story_1045_05				0
200	11	0	1	Story_1050_01				2001
201	11	3	1	Story_1050_02				1001
202	11	0	1	Story_1050_03				3001
203	13	3	1	Guide_1			Task	
204	14	0	1	Guide_40			Level	2001
205	14	1	0		1|407|837|174|174	1	Level	
206	14	1	0		1|410|653|140|140	1	Level	
207	14	1	1		0|-280|300|130	1	Level	
