id	地图名称	出生点1	出生点2	地图地形设置	阶段1效果	阶段2效果	阶段3效果	阶段4效果
id	name	position1	position2	map	initSkill1	initSkill2	initSkill3	initSkill4
int	string	string	string	string	string	string	string	string
10001	地图1	"0,0"	"6,6"	"0110011,0100101,1010000,0001011,0101101,1110110,0110001"	"10000148,10000218"		10000150	"10000212,10000219"
10002	地图2	"0,0"	"6,6"	"0100100,1010000,0110001,0110111,0110101,0010111,0001111"	"10000148,10000218"		10000150	"10000212,10000219"
10003	地图3	"0,0"	"6,6"	"1011110,0010000,1100111,0000001,0010110,1110010,0111111"	"10000148,10000218"		10000150	"10000212,10000219"
10004	地图4	"0,0"	"6,6"	"0010011,0111111,0100000,0101010,1011111,1000010,1100011"	"10000148,10000218"		10000150	"10000212,10000219"
10005	地图5	"0,0"	"6,6"	"0001000,1010000,1001101,0011111,0110100,1111011,1010011"	"10000148,10000218"		10000150	"10000212,10000219"
10006	地图6	"0,0"	"6,6"	"0010011,0011010,0011011,0010101,0100110,1110011,0110101"	"10000148,10000218"		10000150	"10000212,10000219"
10007	地图7	"0,0"	"6,6"	"0101110,1000111,0111000,1110000,0000001,1100111,0110011"	"10000148,10000218"		10000150	"10000212,10000219"
10008	地图8	"0,0"	"6,6"	"1111010,0001011,1000000,0101111,1011010,1111000,0010100"	"10000148,10000218"		10000150	"10000212,10000219"
10009	地图9	"0,0"	"6,6"	"1100011,1000000,1011101,1101100,1010100,1101001,1100100"	"10000148,10000218"		10000150	"10000212,10000219"
10010	地图10	"0,0"	"6,6"	"0101001,1110110,0100001,1010011,0011000,1011010,1110001"	"10000148,10000218"		10000150	"10000212,10000219"
10011	地图11	"0,0"	"6,6"	"0110001,1001111,1010100,0011010,0011101,1010111,0100000"	"10000148,10000218"		10000150	"10000212,10000219"
10012	地图12	"0,0"	"6,6"	"0111011,1010110,0100111,0101010,0001011,1100000,0111010"	"10000148,10000218"		10000150	"10000212,10000219"
10013	地图13	"0,0"	"6,6"	"1000111,1101101,0110011,0101100,1101001,0110000,0101010"	"10000148,10000218"		10000150	"10000212,10000219"
10014	地图14	"0,0"	"6,6"	"1001001,1110001,1110000,0110101,0001000,0101110,0111011"	"10000148,10000218"		10000150	"10000212,10000219"
10015	地图15	"0,0"	"6,6"	"0110110,0110100,0001100,0100011,1011100,0001101,1101111"	"10000148,10000218"		10000150	"10000212,10000219"
10016	地图16	"0,0"	"6,6"	"1110001,1010000,0001110,1111000,1010100,1010101,1100011"	"10000148,10000218"		10000150	"10000212,10000219"
10017	地图17	"0,0"	"6,6"	"1100100,0111111,0100010,1101100,0111100,1001011,0101000"	"10000148,10000218"		10000150	"10000212,10000219"
10018	地图18	"0,0"	"6,6"	"0101110,1110101,1100100,1010001,0110110,0010111,0000110"	"10000148,10000218"		10000150	"10000212,10000219"
10019	地图19	"0,0"	"6,6"	"0011100,0101000,0000110,1111100,0011011,1011000,1110101"	"10000148,10000218"		10000150	"10000212,10000219"
10020	地图20	"0,0"	"6,6"	"1001000,0101010,0110111,0010010,1100110,1100101,1100111"	"10000148,10000218"		10000150	"10000212,10000219"
