屏蔽id	对应字符串
id	chinese
string	string
1	毛泽东
2	周恩来
3	刘少奇
4	朱德
5	彭德怀
6	林彪
7	刘伯承
8	陈毅
9	贺龙
10	聂荣臻
11	徐向前
12	罗荣桓
13	叶剑英
14	李大钊
15	陈独秀
16	孙中山
17	孙文
18	孙逸仙
19	邓小平
20	陈云
21	江泽民
22	李鹏
23	朱镕基
24	李瑞环
25	尉健行
26	李岚清
27	胡锦涛
28	罗干
29	温家宝
30	吴邦国
31	曾庆红
32	贾庆林
33	黄菊
34	吴官正
35	李长春
36	吴仪
37	回良玉
38	曾培炎
39	周永康
40	曹刚川
41	唐家璇
42	华建敏
43	陈至立
44	陈良宇
45	张德江
46	张立昌
47	张德江
48	王歧山
49	张高丽
50	王乐泉
51	刘运山
52	王刚
53	王兆国
54	刘淇
55	贺国强
56	郭伯雄
57	胡耀邦
58	王乐泉
59	王兆国
60	周永康
61	李登辉
62	连战
63	陈水扁
64	宋楚瑜
65	吕秀莲
66	郁慕明
67	蒋介石
68	蒋中正
69	蒋经国
70	马英九
71	习近平
72	习大大
73	李克强
74	吴帮国
75	无帮国
76	无邦国
77	无帮过
78	瘟家宝
79	假庆林
80	甲庆林
81	假青林
82	离长春
83	习远平
84	袭近平
85	袭大大
86	李磕墙
87	贺过墙
88	和锅枪
89	粥永康
90	轴永康
91	肘永康
92	周健康
93	粥健康
94	周小康
95	李肇星
96	胡主席
97	习主席
98	毛主席
99	毛主度
100	马凯
101	王沪宁
102	许其亮
103	孙春兰
104	孙政才
105	李建国
106	李源潮
107	汪洋
108	张春贤
109	张高丽
110	张德江
111	范长龙
112	孟建柱
113	赵乐际
114	胡春华
115	栗战书
116	郭金龙
117	韩正
118	薄熙来
119	温家饱
120	温假饱
121	胡惊涛
122	习仲勋
123	华国锋
124	彭丽媛
125	杨尚昆
126	习大大
127	袭大大
128	王歧山
129	余正声
130	余正生
131	马凯
132	王沪宁
133	刘延东
134	刘奇葆
135	许其亮
136	孙春兰
137	李建国
138	李源潮
139	汪洋
140	张春贤
141	张高丽
142	张德江
143	范长龙
144	孟建柱
145	赵乐际
146	胡春华
147	栗战书
148	郭金龙
149	韩正
150	杜青林
151	赵洪祝
152	杨晶
153	黄树贤
154	杜金才
155	吴玉良
156	杨晓渡
157	刘金国
158	宋涛
159	张志军
160	刘鹤
161	杨洁篪
162	张纪南
163	杨晶
164	冷溶
165	曲青山
166	贾高建
167	杨振武
168	李建
169	张政
