类型id	类型名称	说明文字	参数1名称	参数1类型	参数2名称	参数2类型	参数3名称	参数3类型
id	name	desc	val1Name	val1Type	val2Name	val2Type	val3Name	val3Type
int	string	string	string	int	string	int	string	int
1	修改货币	"0,全部货币；1,千日币；2,晶华；3,彩晶"	货币种类	1	修改数量	2		
2	修改经验	"0,全部职业；1-5,职业1-5"	职业	1	修改数量	2		
3	关卡选择	"如21代表第21关,也就是1021"	第几关	1				
4	修改段位	如-3代表减少3星	星级变化	1				
5	按ID增加卡牌	"填写卡牌ID，多个ID用半角逗号(,)分隔"	卡牌id	2	增加数量	1		
6	按卡池ID增加卡牌	"填写卡牌ID，多个ID用半角逗号(,)分隔"	卡组库id	2	增加数量	1		
7	引导选择	只能填有保存点的ID	引导id	1				
8	自动开卡包		卡包id	1	数量	1		
9	任务重置	"多个ID用半角逗号(,)分隔，表示每个id都执行一次"	任务id	2				
