id	道具掉落
id	drop
int	string
1	"1,1,10000"
2	"1,2,10000"
3	"1,3,10000"
4	"4,0,10000"
1001	"9,90001,8700;9,90002,800;9,90003,400;9,90004,100"
1002	"9,90002,9500;9,90003,400;9,90004,100"
2001	"6,1001,10000"
2002	"6,1002,10000"
90001	"5,1000010,477;5,1000020,477;5,1000030,477;5,1000040,477;5,1000050,476;5,1000060,476;5,1000070,476;5,1000080,476;5,1000090,476;5,1000100,476;5,1000330,476;5,1000340,476;5,1000350,476;5,1000360,476;5,1000370,476;5,1000510,476;5,1000520,476;5,1000530,476;5,1000540,476;5,1000550,476;5,1000560,476"
90002	"5,1000110,625;5,1000120,625;5,1000130,625;5,1000140,625;5,1000150,625;5,1000160,625;5,1000170,625;5,1000180,625;5,1000380,625;5,1000390,625;5,1000400,625;5,1000410,625;5,1000570,625;5,1000580,625;5,1000590,625;5,1000600,625"
90003	"5,1000190,834;5,1000200,834;5,1000210,834;5,1000220,834;5,1000230,833;5,1000240,833;5,1000420,833;5,1000430,833;5,1000440,833;5,1000610,833;5,1000620,833;5,1000630,833"
90004	"5,1000250,910;5,1000260,909;5,1000270,909;5,1000280,909;5,1000290,909;5,1000310,909;5,1000450,909;5,1000460,909;5,1000470,909;5,1000640,909;5,1000650,909"
90005	"5,1000040,10000"
90006	"5,1000150,10000"
90007	"5,1000030,10000"
90008	"5,1000210,10000"
90009	"5,1000330,10000"
1101	"6,1101,10000"
1102	"6,1102,10000"
1103	"6,1103,10000"
1104	"6,1104,10000"
1105	"6,1105,10000"
1106	"6,1106,10000"
1107	"6,1107,10000"
90000	"5,1000290,3334;5,1000310,3333;5,1000470,3333"
