id	是否职业	名称	战场默认武器	职业	等级	力量	敏捷	智力	升级所需经验	下限	上限	下一级id	下一级id	引导id	段位等级	段位星级	卡组库id
id	isOcc	name	defaultWeapon	occupation	level	strength	agility	intelligence	lvUpExp	minExp	maxExp	lastLvID	nextLvID	guideID	rankID	star	cardGroup
int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	1	occ_1	1000001	0	1	8	3	3	79	0	79		1002				
1002	1	occ_1	1000001	0	2	10	4	4	100	80	179	1001	1003				
1003	1	occ_1	1000001	0	3	12	5	5	140	180	319	1002	1004				
1004	1	occ_1	1000001	0	4	14	6	6	200	320	519	1003	1005				
1005	1	occ_1	1000001	0	5	17	7	7	300	520	819	1004	1006				
1006	1	occ_1	1000001	0	6	18	8	8	450	820	1269	1005	1007				
1007	1	occ_1	1000001	0	7	21	9	9	700	1270	1969	1006	1008				
1008	1	occ_1	1000001	0	8	23	10	10	1200	1970	3169	1007	1009				
1009	1	occ_1	1000001	0	9	25	11	11	1800	3170	4969	1008	1010				
1010	1	occ_1	1000001	0	10	28	12	12	0	4970	9999	1009					
1101		occ_1	1000001	0	10												
2001	1	occ_2	1000002	1	1	5	4	6	59	0	59		2002				
2002	1	occ_2	1000002	1	2	5	5	8	80	60	139	2001	2003				
2003	1	occ_2	1000002	1	3	5	6	11	120	140	259	2002	2004				
2004	1	occ_2	1000002	1	4	5	7	13	140	260	399	2003	2005				
2005	1	occ_2	1000002	1	5	5	8	17	300	400	699	2004	2006				
2006	1	occ_2	1000002	1	6	5	9	19	450	700	1149	2005	2007				
2007	1	occ_2	1000002	1	7	6	10	21	700	1150	1849	2006	2008				
2008	1	occ_2	1000002	1	8	6	11	23	1200	1850	3049	2007	2009				
2009	1	occ_2	1000002	1	9	7	13	26	1800	3050	4849	2008	2010				
2010	1	occ_2	1000002	1	10	8	14	29	0	4850	9999	2009					
2101		occ_2	1000002	1	10	8	14	29									
3001	1	occ_3	1000003	2	1	5	5	6	59	0	59		3002				
3002	1	occ_3	1000003	2	2	5	6	7	80	60	139	3001	3003				
3003	1	occ_3	1000003	2	3	6	8	9	120	140	259	3002	3004				
3004	1	occ_3	1000003	2	4	6	9	10	140	260	399	3003	3005				
3005	1	occ_3	1000003	2	5	8	11	12	300	400	699	3004	3006				
3006	1	occ_3	1000003	2	6	8	12	13	450	700	1149	3005	3007				
3007	1	occ_3	1000003	2	7	9	13	15	700	1150	1849	3006	3008				
3008	1	occ_3	1000003	2	8	10	14	16	1200	1850	3049	3007	3009				
3009	1	occ_3	1000003	2	9	11	16	18	1800	3050	4849	3008	3010				
3010	1	occ_3	1000003	2	10	13	18	20	0	4850	9999	3009					
3101		occ_3	1000003	2	10	13	18	20	0								
4001	1	occ_4	1000004	3	1	3	8	4	59	0	59		4002				
4002	1	occ_4	1000004	3	2	4	10	5	80	60	139	4001	4003				
4003	1	occ_4	1000004	3	3	4	12	6	120	140	259	4002	4004				
4004	1	occ_4	1000004	3	4	5	14	6	140	260	399	4003	4005				
4005	1	occ_4	1000004	3	5	6	17	8	300	400	699	4004	4006				
4006	1	occ_4	1000004	3	6	7	18	8	450	700	1149	4005	4007				
4007	1	occ_4	1000004	3	7	7	20	9	700	1150	1849	4006	4008				
4008	1	occ_4	1000004	3	8	8	23	10	1200	1850	3049	4007	4009				
4009	1	occ_4	1000004	3	9	9	25	11	1800	3050	4849	4008	4010				
4010	1	occ_4	1000004	3	10	10	28	13	0	4850	9999	4009					
5001	1	occ_5	1000005	4	1	5	5	6	59	0	10058		5002				
